delete_index,value,time_ns,operations
319,76800,4000,73
320,5387,3800,69
321,45005,3800,74
322,50494,4900,64
323,47509,3200,59
324,18688,4200,71
325,91518,3700,64
326,42629,3600,68
327,6781,3500,60
328,5986,3900,69
329,60302,4700,59
330,41248,3900,64
331,53593,4300,70
332,84741,4300,68
333,69137,5500,71
334,75036,3800,64
335,19696,4000,64
336,93857,4300,64
337,50953,4300,74
338,20771,3800,59
339,25386,4700,75
340,39109,4200,73
341,87794,4200,66
342,46007,5000,66
343,82056,4000,68
344,40011,4000,69
345,40488,3500,59
346,38842,4000,66
347,18813,4700,65
348,65959,4100,63
349,70518,3100,64
350,18224,3400,64
351,28557,3800,64
352,93241,4100,63
353,20956,3300,68
354,12860,3100,73
355,99329,3400,69
356,52706,3400,65
357,97212,4000,69
358,36007,4800,74
359,93732,3700,69
360,3923,3500,69
361,92577,3700,70
362,31680,5000,69
363,30302,4000,68
364,29856,261200,64
365,61164,5200,69
366,72765,5100,68
367,1226,4600,69
368,16596,2900,54
369,8380,3900,74
370,60895,4000,69
371,46741,3100,59
372,66718,8200,77
373,41081,3300,64
374,36852,5000,64
375,61366,4100,71
376,31529,3400,69
377,60894,3700,64
378,82165,3400,68
379,23588,3400,69
380,1802,4700,84
381,92992,5200,66
382,27952,4400,66
383,69945,5200,71
384,14802,3700,61
385,61887,3600,64
386,992,3600,59
387,98145,4600,77
388,76515,3900,61
389,50921,4500,74
390,29432,4000,69
391,17950,5300,68
392,86848,4100,66
393,1029,4500,75
394,25055,4600,74
395,62876,4300,68
396,78717,52600,73
397,4546,1700,69
398,47092,15300,65
399,30860,1600,64
400,56693,1400,66
401,30077,16400,72
402,63347,114700,68
403,78143,3600,70
404,13978,1400,64
405,13833,2000,74
406,73968,2100,76
407,41441,1800,69
408,33510,1900,73
409,84542,1700,63
410,38720,1600,71
411,32431,1300,66
412,96337,1800,74
413,2688,1700,74
414,81208,1500,66
415,27094,1300,64
416,2108,1600,79
417,25867,1800,69
418,33613,1400,64
419,39850,5000,69
420,86249,19900,73
421,97848,1700,68
422,19193,2000,66
423,16095,1500,69
424,32974,2200,78
425,57775,1400,64
426,16447,2000,73
427,56488,1300,69
428,39134,1500,74
429,35753,1400,74
430,59654,1200,69
431,24969,1200,69
432,84711,1300,74
433,93408,1400,63
434,62786,1100,64
435,48059,1500,63
436,12379,1400,64
437,79541,1000,66
438,85904,1100,69
439,75100,800,64
440,42054,1300,71
441,9438,1300,74
442,3391,1600,66
443,83985,1300,73
444,40894,1300,68
445,39498,1300,69
446,8652,1000,73
447,66201,1700,61
448,57721,1400,66
449,60402,1200,68
450,12230,1200,64
451,53678,1100,69
452,90360,1200,69
453,36318,1000,61
454,89297,1000,64
455,70107,1500,61
456,12864,1400,70
457,70641,900,64
458,37638,1100,69
459,27125,1400,68
460,82281,900,61
461,24467,1100,64
462,53559,1200,71
463,44759,1800,75
464,26608,1200,74
465,9497,1100,64
466,38543,1200,74
467,62174,1100,66
468,54599,1200,59
469,85746,1200,69
470,64344,1500,69
471,51517,900,64
472,56557,1200,69
473,25616,1300,74
474,2806,1200,71
475,75294,1300,73
476,15480,1800,75
477,70065,1100,71
478,57425,1400,78
479,69526,1400,68
480,63757,1500,69
481,77098,1200,75
482,28465,1200,74
483,62148,1400,74
484,36530,1200,69
485,72367,800,64
486,94786,1900,78
487,9254,1500,69
488,66716,1400,65
489,2401,1700,74
490,35990,1600,71
491,17047,1500,68
492,11234,900,59
493,1204,1400,71
494,84713,1500,72
495,95721,1100,66
496,69074,2500,79
497,51324,900,59
498,14016,1400,74
499,36603,1000,63
500,44673,800,64
501,62676,1300,68
502,22891,1000,64
503,24823,2000,80
504,69150,1000,69
505,28970,1700,83
506,76778,1600,74
507,69995,1500,65
508,98304,800,61
509,81674,1000,69
510,51819,1100,64
511,19233,1200,70
512,66174,1200,70
513,24934,1200,71
514,72721,1200,79
515,84957,1100,59
516,18685,1100,74
517,41471,1200,71
518,15088,1600,73
519,9875,900,64
520,90468,1100,68
521,94834,1200,73
522,24725,900,70
523,22051,1300,70
524,50731,1200,64
525,98530,800,64
526,85667,1100,63
527,54898,1100,74
528,56338,1300,74
529,29342,56200,64
530,44664,3400,77
531,23974,1400,64
532,99182,1600,74
533,37230,20500,71
534,47726,1700,71
535,29565,2300,70
536,66590,1600,74
537,83775,1500,74
538,49213,1900,70
539,58411,1100,64
540,51100,1500,69
541,77001,1100,69
542,34109,1400,68
543,30894,1100,66
544,23310,1300,73
545,47386,1200,68
546,69674,1300,69
547,64527,1500,75
548,58748,1400,64
549,73825,1300,69
550,2848,1400,74
551,87480,1400,74
552,90813,1300,71
553,41336,1300,74
554,44518,1200,69
555,92492,1800,72
556,94314,1500,73
557,91087,1400,71
558,60391,16500,73
559,36967,1100,66
560,25908,2000,74
561,41969,1400,74
562,83611,1200,77
563,90548,1100,68
564,12337,1300,64
565,57653,1300,68
566,43588,1300,58
567,79557,1200,66
568,4657,1300,69
569,99012,1400,69
570,48564,900,71
571,25842,1000,64
572,15,4700,64
573,5889,900,64
574,16044,1400,69
575,25649,1300,71
576,60514,1200,79
577,36282,600,74
578,96863,1400,78
579,51854,1000,66
580,90516,800,64
581,92170,1000,67
582,15350,800,66
583,8551,1500,76
584,30794,900,56
585,97064,1100,69
586,10956,1200,64
587,33543,800,68
588,89026,1300,68
589,65583,1300,76
590,2777,1400,70
591,51645,1000,64
592,86715,1000,64
593,26443,1300,61
594,90572,1200,64
595,82424,1000,63
596,41262,2100,69
597,74493,1500,77
598,55282,1000,61
599,17089,1300,63
600,45946,1100,63
601,33259,1400,74
602,85043,900,68
603,76533,900,61
604,55805,1100,59
605,48935,1600,67
606,61435,1300,75
607,35678,1100,69
608,92798,1200,69
609,38682,1200,68
610,62806,1300,67
611,66829,1100,74
612,14503,700,69
613,67629,1000,74
614,92373,1100,74
615,92821,1100,68
616,91473,1200,66
617,21268,1000,59
618,56973,1400,70
619,26375,900,64
620,10199,1200,69
621,75128,900,69
622,5822,1000,64
623,16262,900,64
624,34317,1200,74
625,99007,1000,69
626,65553,1100,69
627,42790,1000,73
628,69641,1000,73
629,34137,700,59
630,35451,800,69
631,12838,1100,64
632,66399,1400,68
633,98922,1400,69
634,10078,1300,69
635,63943,1200,69
636,98794,1500,68
637,5391,1000,61
638,95759,900,65
639,66568,1200,71
640,33446,1300,73
641,74959,1100,68
642,4690,1200,73
