index,value,time_ns,operations
319,76800,3500,40
320,5387,2800,34
321,45005,3000,38
322,50494,3200,38
323,47509,3100,38
324,18688,3500,37
325,91518,3200,38
326,42629,3200,38
327,6781,2800,34
328,5986,3000,40
329,60302,3200,38
330,41248,5100,44
331,53593,3600,41
332,84741,3200,38
333,69137,3200,38
334,75036,3300,40
335,19696,3400,37
336,93857,3600,40
337,50953,3000,38
338,20771,2600,30
339,25386,3200,37
340,39109,3900,45
341,87794,3200,40
342,46007,3000,38
343,82056,4100,38
344,40011,3300,38
345,40488,3200,38
346,38842,3000,38
347,18813,2700,34
348,65959,11400,44
349,70518,2900,34
350,18224,3400,37
351,28557,2800,34
352,93241,2700,30
353,20956,4200,36
354,12860,2700,30
355,99329,3100,38
356,52706,4700,40
357,97212,3800,44
358,36007,3400,45
359,93732,2500,38
360,3923,3300,41
361,92577,3300,38
362,31680,3500,44
363,30302,2900,34
364,29856,3300,37
365,61164,3100,38
366,72765,2900,34
367,1226,2900,34
368,16596,2700,30
369,8380,4000,36
370,60895,2900,38
371,46741,2900,38
372,66718,3100,38
373,41081,2700,34
374,36852,3100,38
375,61366,4000,45
376,31529,3500,44
377,60894,3500,44
378,82165,3600,45
379,23588,2500,30
380,1802,3400,40
381,92992,3200,38
382,27952,3900,34
383,69945,4200,38
384,14802,2900,34
385,61887,3700,44
386,992,3200,38
387,98145,3600,44
388,76515,2800,34
389,50921,3600,44
390,29432,3400,41
391,17950,2400,30
392,86848,3800,38
393,1029,3500,44
394,25055,3300,37
395,62876,3900,34
396,78717,3200,38
397,4546,3300,38
398,47092,3300,44
399,30860,3400,37
400,56693,2800,34
401,30077,2700,34
402,63347,2800,34
403,78143,3000,38
404,13978,2400,34
405,13833,3600,41
406,73968,3600,41
407,41441,3100,38
408,33510,3700,38
409,84542,3000,38
410,38720,3700,45
411,32431,3400,42
412,96337,3500,40
413,2688,2700,34
414,81208,3300,40
415,27094,3300,37
416,2108,2900,38
417,25867,3200,36
418,33613,3300,42
419,39850,3100,38
420,86249,3200,38
421,97848,18400,44
422,19193,3600,40
423,16095,2900,34
424,32974,4000,49
425,57775,3200,38
426,16447,2200,26
427,56488,3300,40
428,39134,3500,42
429,35753,3700,42
430,59654,3100,38
431,24969,2800,34
432,84711,3700,44
433,93408,3600,44
434,62786,5000,41
435,48059,3800,45
436,12379,2700,30
437,79541,3800,44
438,85904,3300,38
439,75100,3600,40
440,42054,3000,38
441,9438,2500,30
442,3391,3500,41
443,83985,3000,38
444,40894,2600,34
445,39498,4000,48
446,8652,2800,34
447,66201,4700,45
448,57721,3600,44
449,60402,7000,44
450,12230,2400,30
451,53678,3100,38
452,90360,2800,34
453,36318,3100,42
454,89297,3400,40
455,70107,2700,34
456,12864,3400,37
457,70641,3000,38
458,37638,3900,45
459,27125,2800,34
460,82281,5100,45
461,24467,2700,34
